"GEOID","hate","nohate","Hate Percent","Case Rate","Death Rate","Percent Asian","Percent Foreign Born","Percent NH White","Population Density","Income Inequality","Percent Below Poverty"
"40075",0,26,0,233.666061705989,6.23865698729583,0.521778584392015,1.29310344827586,72.5725952813067,3.30181015537073,4.7532106029,5.33121597096189
"40077",0,22,0,233.518898329915,3.41830256861022,0.820392616466452,1.70915128430511,62.193573591171,5.42180441331963,5.075163788,3.99453071589022
"40079",0,426,0,268.305366107322,2.14004280085602,0.728014560291206,3.20006400128003,69.297385947719,12.0010347983186,4.8520227749,4.13808276165523
"40083",0,385,0,248.960992384127,3.48093922069155,0.573827556380667,3.02103331153351,76.5616759140103,24.4459615150579,5.2338675122,1.92190038184848
"40085",0,25,0,328.890205371248,3.94944707740916,0.809636650868878,6.62519747235387,69.3522906793049,7.34679887817288,3.9958001575,2.34004739336493
"40087",0,186,0,312.041281531024,3.48187670649533,0.115227574459558,2.933293254177,78.0240975927457,26.5614043016276,4.056085424,1.75596803687282
"40089",0,265,0,255.765199161426,5.04359979339471,0.823382857837329,3.30264637073497,60.3500136724091,6.68043668606386,4.9086640509,5.66037735849057
"40091",0,57,0,261.828530771967,6.35259439955278,0.0660669817553489,1.49921227829446,66.3414138334096,10.6649961141535,4.7990427648,4.85846419677796
"40093",0,4,0,338.777110007839,5.35667624771361,0.992944865429841,5.99686438463548,82.675725111053,3.08534460662217,4.0868118689,2.44316697151816
"40095",0,68,0,293.564237775647,2.75647171620326,0.161792905081496,6.98705656759348,63.7104506232023,15.0904799481415,4.274060401,3.12799616490892
"40097",0,193,0,271.911041899849,3.99046182295975,0.386880140152805,1.13874154460071,63.2317874349117,23.22106158267,4.2787466602,4.26054795853813
"40099",0,190,0,318.708846263956,5.65416547380475,0.794446034926997,2.87002576581735,68.8877755511022,12.6876459360219,4.3323190712,3.11336959633553
"40103",0,47,0,284.382491343337,3.64023794726094,0.0976649205362692,0.674775814614224,79.9698126609252,5.8581550595034,4.462376373,1.54488147030099
"40105",0,50,0,283.217807283023,4.10036122229816,0.292882944449868,1.00556477594455,64.8735721956458,6.81258160152598,4.4654173951,3.85629210192326
"40107",0,19,0,310.92016351047,5.17226995912238,0,1.56836572954034,56.4861933761575,7.35957507922602,5.0229283731,4.95536831567531
"40111",0,764,0,265.452753352528,5.00609550488937,0.407231603247477,0.897465826265141,60.8020128135294,21.1993700156545,4.69781914,3.61320779187093
